names,date_x,score,genre,crew,status,orig_lang,budget_x,revenue,country
TAXI DRIVER,1976-08-05,82.0,"Crime, Drama","Robert De Niro, Travis Bickle, Jodie Foster, Iris Steensma, Albert Brooks, Tom, Harvey Keitel, Sport Higgins, Leonard Harris, Senator Charles Palantine, Peter Boyle, Wizard, Cybill Shepherd, Betsy, Diahnne Abbott, Concession Girl, Frank Adu, Angry Black Man", Released, English,1900000.0,28447834.0,AU
THE 5TH WAVE,2016-01-14,59.0,"Science Fiction, Adventure, Action","Chloë Grace Moretz, Cassiopeia ""Cassie"" Sullivan, Nick Robinson, Ben ""Zombie"" Parish, Ron Livingston, Oliver Sullivan, Maggie Siff, Lisa Sullivan, Alex Roe, Evan Walker, Maria Bello, Sergeant Reznik, Maika Monroe, Marika ""Ringer"" Kimura, Zackary Arthur, Sammy ""Nugget"" Sullivan, Liev Schreiber, Lieutenant Colonel Alexander Vosch", Released, English,38000000.0,111336398.0,AU
THE LORAX,2012-03-29,65.0,"Animation, Family","Zac Efron, Ted Wiggins (voice), Danny DeVito, The Lorax (voice), Taylor Swift, Audrey (voice), Ed Helms, Once-ler (voice), Rob Riggle, Mr. Aloysius O'Hare (voice), Jenny Slate, Mrs. Wiggins (voice), Betty White, Grammy Norma (voice), Willow Smith, Marta (voice), Nasim Pedrad, Once-ler's Mom (voice)", Released, English,70000000.0,348840316.0,AU
SOLITARY,2020-08-31,54.0,Science Fiction,"Johnny Sachon, Issac, Lottie Tolhurst, Alana, Brian Bovell, Harry, Connie Jenkins-Greig, Isabel, Michael Condron, Ken Bradley, Raymond Bethley, Richard Adams, Michael Absalom, Reporter, Andre Pierre, Capsule Guard, Kelvin Hewlett, Spook", Released, English,145800000.0,560043196.2,US
THE AMAZING MAURICE,2023-01-12,70.0,"Animation, Adventure, Comedy, Family, Fantasy","Hugh Laurie, Maurice (voice), Emilia Clarke, Malicia (voice), David Thewlis, Boss Man / Rat King (voice), Himesh Patel, Keith (voice), Gemma Arterton, Peaches (voice), Hugh Bonneville, The Mayor (voice), Ariyon Bakare, Darktan (voice), Julie Atherton, Nourishing (voice), David Tennant, Dangerous Beans (voice)", Released, English,17000000.0,3901839.0,AU
UPSIDEDOWN MAGIC,2020-11-11,72.0,"Fantasy, Family, TV Movie","Izabela Rose, Nory Boxwood Horace, Siena Agudong, Reina Carvajal, Kyle Howard, Budd Skriff, Max Torina, Andres Padillo, Elie Samouhi, Elliot Cohen, Alison Fernandez, Pepper Phan, Vicki Lewis, Headmaster Knightslinger, Cynthia Kaye McWilliams, Professor Argon, Jaime M. Callica, Augustus", Released, English,90200000.0,569108960.0,AU
DEEP WATER,1981-12-16,61.0,"Drama, Thriller","Isabelle Huppert, Mélanie, Jean-Louis Trintignant, Vic, Christian Benedetti, Carlo, Bertrand Bonvoisin, Carpentier, Philippe Clévenot, Henri Valette, Martine Costes, Julie's Mother, Evelyne Didi, Evelyn Cowan, Jean-Michel Dupuis, Philip Cowan, Éric Frey, Denis Miller", Released, French,98400000.0,251792115.2,FR
SPIRITED,2022-11-18,70.0,Comedy,"Will Ferrell, Present, Ryan Reynolds, Clint Briggs, Octavia Spencer, Kimberly, Patrick Page, Marley, Sunita Mani, Past, Loren G. Woods, Yet-To-Come, Tracy Morgan, Yet-To-Come (voice), Joe Tippett, Owen, Marlow Barkley, Wren / Young Carrie", Released, English,75000000.0,412519762.0,AU
HONEST THIEF,2021-02-01,65.0,"Thriller, Action, Crime, Drama","Liam Neeson, Tom Dolan, Kate Walsh, Annie Wilkins, Jai Courtney, John Nivens, Jeffrey Donovan, Sean Meyers, Robert Patrick, Samuel Baker, Anthony Ramos, Ramon Hall, Jasmine Cephas Jones, Beth Hall, Birol Tarkan Yıldız, Boss Mike (uncredited), Adam Teper, Hotel Valet", Released, English,30000000.0,32609631.0,AU
THE SWORD IN THE STONE,1964-04-15,73.0,"Animation, Family","Sebastian Cabot, The Narrator/Sir Ector (voice), Karl Swenson, Merlin (voice), Junius Matthews, Archimedes the Owl (voice), Martha Wentworth, Madam Mim / Old Lady Squirrel (voice), Norman Alden, Kay (voice), Rickie Sorensen, Wart (voice), Ginny Tyler, Little Girl Squirrel (voice), Alan Napier, Sir Pellinore (voice), Richard Reitherman, Wart (voice)", Released, English,3000000.0,22182353.0,AU
INSIDIOUS CHAPTER 2,2013-10-31,67.0,"Horror, Thriller","Patrick Wilson, Josh Lambert, Rose Byrne, Renai Lambert, Lin Shaye, Elise Rainier, Ty Simpkins, Dalton Lambert, Barbara Hershey, Lorraine Lambert, Steve Coulter, Carl, Leigh Whannell, Specs, Angus Sampson, Tucker, Andrew Astor, Foster Lambert", Released, English,5000000.0,161000000.0,AU
ZOMBIELAND DOUBLE TAP,2019-10-17,70.0,"Comedy, Horror","Woody Harrelson, Tallahassee, Jesse Eisenberg, Columbus, Emma Stone, Wichita, Abigail Breslin, Little Rock, Rosario Dawson, Nevada, Zoey Deutch, Madison, Luke Wilson, Albuquerque, Avan Jogia, Berkeley, Thomas Middleditch, Flagstaff", Released, English,48000000.0,125213018.0,AU
ONE PIECE ADVENTURE OF NEBULANDIA,2015-12-19,77.0,"Action, Animation, Adventure, Comedy, Fantasy","Mayumi Tanaka, Monkey D. Luffy, Akemi Okamura, Nami, Ikue Otani, Tony Tony Chopper, Kappei Yamaguchi, Usopp, Kazuki Yao, Franky, Kazuya Nakai, Roronoa Zoro, Hiroaki Hirata, Sanji, Yuriko Yamaguchi, Nico Robin (voice), Cho, Brook (voice)", Released, Japanese,107600000.0,771238750.4,JP
GREASE,1978-07-07,74.0,"Romance, Comedy","John Travolta, Danny Zuko, Olivia Newton-John, Sandy Olsson, Stockard Channing, Betty Rizzo, Jeff Conaway, Kenickie, Barry Pearl, Doody, Michael Tucci, Sonny, Kelly Ward, Putzie, Didi Conn, Frenchy, Jamie Donnelly, Jan", Released, English,6000000.0,387472317.0,US
GANGS OF LAGOS,2023-04-07,50.0,Crime,"Demi Banwo, Bolaji, Adesua Etomi-Wellington, , Tobi Bakre, , Adebowale Adedayo, , Alabi Pasuma, , Olarotimi Fakunle, Kazeem", Released, English,107200000.0,954532207.0,US
HOUSE OF WAX,2005-07-14,59.0,"Horror, Thriller","Elisha Cuthbert, Carly Jones, Chad Michael Murray, Nick Jones, Brian Van Holt, Bo / Vincent, Paris Hilton, Paige Edwards, Jared Padalecki, Wade, Robert Ri'chard, Blake, Jon Abrahams, Dalton Chapman, Damon Herriman, Roadkill Driver, Dragicia Debert, Trudy Sinclair", Released, English,35000000.0,70064800.0,AU
TERMINATOR 3 RISE OF THE MACHINES,2003-07-17,61.0,"Action, Thriller, Science Fiction","Arnold Schwarzenegger, The Terminator, Nick Stahl, John Connor, Claire Danes, Kate Brewster, Kristanna Loken, T-X, Earl Boen, Dr. Peter Silberman, David Andrews, Robert Brewster, Carolyn Hennesy, Rich Woman, Jay Acovone, Cop - Westside Street, Mark Famiglietti, Scott Petersen", Released, English,170000000.0,433058296.0,AU
PARADISE HIGHWAY,2022-09-29,59.0,"Thriller, Crime, Drama","Juliette Binoche, Sally, Frank Grillo, Dennis, Morgan Freeman, Gerick, Hala Finley, Leila, Cameron Monaghan, Special Agent Finley Sterling, Veronica Ferres, Rose, Christiane Seidel, Claire, Jackie Dallas, Deborah, Tommie Earl Jenkins, Bob", Released, English,147200000.0,572346763.4,DE
DRIVE,2011-10-26,76.0,"Drama, Thriller, Crime","Ryan Gosling, Driver, Carey Mulligan, Irene, Bryan Cranston, Shannon, Albert Brooks, Bernie Rose, Oscar Isaac, Standard Gabriel, Christina Hendricks, Blanche, Ron Perlman, Nino, Kaden Leos, Benicio, Jeff Wolfe, Tan Suit", Released, English,15000000.0,81357930.0,AU
OSCAR AND THE LADY IN PINK,2009-12-09,65.0,Drama,"Amir Ben Abdelmoumen, Oscar, Michèle Laroque, Rose, Max von Sydow, Le docteur Dusseldorf, Mylène Demongeot, Lily, la mère de Rose, Jérôme Kircher, Le père d'Oscar, Amira Casar, Madame Gommette, Constance Dollé, La mère d'Oscar, Benoît Brière, L'annonceur, Mathilde Goffart, Peggy Blue", Released, French,95600000.0,305560367.8,FR
DIE HARD,1988-10-06,78.0,"Action, Thriller","Bruce Willis, John McClane, Alan Rickman, Hans Gruber, Alexander Godunov, Karl, Bonnie Bedelia, Holly Gennaro McClane, Reginald VelJohnson, Al Powell, Paul Gleason, Dwayne Robinson, De'voreaux White, Argyle, William Atherton, Richard Thornburg, Hart Bochner, Harry Ellis", Released, English,28000000.0,139434346.0,AU
INSIDIOUS THE LAST KEY,2018-01-05,62.0,"Horror, Mystery, Thriller","Lin Shaye, Elise Rainier, Angus Sampson, Tucker, Leigh Whannell, Specs, Josh Stewart, Gerald Rainier, Caitlin Gerard, Imogen Rainier, Spencer Locke, Melissa Rainier, Hana Hayes, Teenage Elise Rainier, Tessa Ferrer, Audrey Rainier, Kirk Acevedo, Ted Garza", Released, English,10000000.0,172811971.0,US
ONWARD,2020-03-20,77.0,"Family, Animation, Adventure, Comedy, Fantasy, Action","Tom Holland, Ian Lightfoot (voice), Chris Pratt, Barley Lightfoot (voice), Julia Louis-Dreyfus, Laurel Lightfoot (voice), Octavia Spencer, The Manticore (voice), Mel Rodriguez, Officer Colt Bronco (voice), Kyle Bornheimer, Wilden Lightfoot (voice), Lena Waithe, Officer Spector (voice), Ali Wong, Officer Gore (voice), Grey DeLisle, Dewdrop (voice)", Released, English,200000000.0,133357601.0,AU
PATHAAN,2023-01-25,67.0,"Action, Adventure, Thriller","Shah Rukh Khan, Pathaan, Deepika Padukone, Rubina Mohsin, John Abraham, Jim, Dimple Kapadia, Nandini, Ashutosh Rana, Colonel Sunil Luthra, Salman Khan, Tiger, Akash Bhatija, Amol, Prakash Belawadi, Dr. Sahani, Viraf Patel, Rishi", Released, Hindi,63000000.0,112000000.0,IN
THE HOST,2013-03-28,63.0,"Action, Adventure, Romance, Science Fiction, Thriller","Saoirse Ronan, Melanie Stryder / Wanda, Diane Kruger, The Seeker / Lacey, Max Irons, Jared Howe, Jake Abel, Ian O'Shea, William Hurt, Jeb Stryder, Frances Fisher, Maggie Stryder, Chandler Canterbury, Jamie Stryder, Boyd Holbrook, Kyle O'Shea, Stephen Rider, Seeker Reed", Released, English,50000000.0,64477051.0,AU
MONKEY KING HERO IS BACK,2015-07-10,69.0,"Fantasy, Animation, Comedy","Zhang Lei, sun wukong, Lin Zijie, Jiang Liuer, Tong Zirong, Hun Dun, 刘北辰, , Zhou Shuai, , Liu Jiurong, Pigsy, Zhao Qian Jing, , James Hong, Old Monk, Jackie Chan, Sun Wukong (English Dub)", Released, Chinese,10000000.0,150000000.0,CN
VAN HELSING,2004-05-05,63.0,"Horror, Adventure, Action","Hugh Jackman, Van Helsing, Kate Beckinsale, Anna Valerious, Richard Roxburgh, Count Vladislaus Dracula, David Wenham, Carl, Shuler Hensley, Frankenstein's Monster, Elena Anaya, Aleera, Will Kemp, Velkan, Kevin J. O'Connor, Igor, Alun Armstrong, Cardinal Jinette", Released, English,170000000.0,300150546.0,AU
PUSS IN BOOK TRAPPED IN AN EPIC TALE,2017-06-20,66.0,"Family, Fantasy, Animation, Comedy, Adventure","Eric Bauza, Puss In Boots / Eames / Princess Monster (voice), Jayma Mays, Dulcinea (voice), Maria Bamford, The Duchess (voice), Jeff Bennett, Storyteller / Baby Bear (voice), Ron Funches, Fartholomew Fishflinger (voice), Jim Cummings, Vina / Alessandra / Fonvil (voice), Carla Jimenez, Señora Zapata (voice), Ariebella Makana, Esme (voice), Candi Milo, Kid Pickles / Cleevil / Mama Bear (voice)", Released, English,111000000.0,347509904.0,US
THATS MY BOY,2012-06-14,58.0,"Comedy, Drama","Adam Sandler, Donny Berger, Andy Samberg, Todd Peterson, Susan Sarandon, Mary McGarricle (Present Day), Eva Amurri Martino, Ms. McGarricle, Leighton Meester, Jamie Martin, James Caan, Father McNally, Vanilla Ice, Vanilla Ice, Dan Patrick, Randall Morgan, Todd Bridges, Todd Bridges", Released, English,70000000.0,58058367.0,AU
THE IMITATION GAME,2014-12-19,80.0,"History, Drama, Thriller, War","Benedict Cumberbatch, Alan Turing, Keira Knightley, Joan Clarke, Matthew Goode, Hugh Alexander, Rory Kinnear, Detective Robert Nock, Allen Leech, John Cairncross, Matthew Beard, Peter Hilton, Charles Dance, Commander Denniston, Mark Strong, Stewart Menzies, James Northcote, Jack Good", Released, English,15000000.0,227328585.0,AU
THE WANDERING EARTH,2019-02-08,65.0,"Science Fiction, Action, Drama","Qu Chuxiao, Liu Qi (刘启), Li Guangjie, Wang Lei (王磊), Zhao Jinmai, Han Duoduo (韩朵朵), Wu Jing, Liu Peiqiang (刘培强), Ng Man-tat, Han Ziang (韩子昴), Michael Kai Sui, Tim, Qu Jingjing, Zhou Qian (周倩), Zhang Yichi, Li Yiyi (李一一), Haoyu Yang, He Lianke", Released, Chinese,48000000.0,287716494.2,AU
BARABBAS,1962-10-10,70.0,"Adventure, Drama, History","Anthony Quinn, Barabbas, Silvana Mangano, Rachel, Arthur Kennedy, Pontius Pilate, Katy Jurado, Sara, Harry Andrews, Peter, Vittorio Gassman, Sahak, Norman Wooland, Rufio, Valentina Cortese, Julia, Jack Palance, Torvald", Released, English,98400000.0,376377287.0,US
PARANORMAL ACTIVITY,2009-12-03,60.0,"Horror, Mystery","Katie Featherston, Katie, Micah Sloat, Micah, Mark Fredrichs, The Psychic, Amber Armstrong, Amber, Ashley Palmer, Diane, Crystal Cartwright, Exorcism Nanny (uncredited), Spencer Marks, Dr. Johann Averies (uncredited), Randy McDowell, Lt. Randy Hudson (uncredited), James Piper, Richard (uncredited)", Released, English,450000.0,194183034.0,AU
TRUE SPIRIT,2023-01-26,71.0,"Adventure, Drama, Family","Teagan Croft, Jessica Watson, Cliff Curtis, Ben Bryant, Alyla Browne, Young Jessica, Josh Lawson, Roger Watson, Anna Paquin, Julie Watson, Bridget Webb, Emily Watson, Vivien Turner, Hannah Watson, Stacy Clausen, Tom Watson, Freya Callaghan, Young Emily", Released, English,63700000.0,763439177.6,AU
SEXO,2001-08-21,52.0,Comedy,"Rob Finne, , Elisha Burkhart, , Uriyoan Carlos Ramos, , Jacobo Bibliowicz, , Nick Seeley, , Taj Martin, , Richard Scott Callison, , Rachel Lewitt, , Camilla B. Fuller, ", Released, English,77140000.0,202866374.4,US
THE NATIVITY STORY,2006-11-30,70.0,"Drama, History","Keisha Castle-Hughes, Mary, Oscar Isaac, Joseph, Hiam Abbass, Anna, Shaun Toub, Joachim, Ciarán Hinds, Herod, Shohreh Aghdashloo, Elisabeth, Stanley Townsend, Zechariah, Alexander Siddig, The Angel Gabriel, Nadim Sawalha, Melchior", Released, English,35000000.0,46309644.0,AU
INDEPENDENCE DAY RESURGENCE,2016-06-23,53.0,"Action, Adventure, Science Fiction","Liam Hemsworth, Jake Morrison, Jeff Goldblum, David Levinson, Jessie T. Usher, Dylan Hiller, Bill Pullman, President Whitmore, Maika Monroe, Patricia Whitmore, Sela Ward, President Lanford, Judd Hirsch, Julius Levinson, William Fichtner, General Adams, Brent Spiner, Dr. Brakish Okun", Released, English,165000000.0,384169424.0,AU
A DELICIOUS FLIGHT,2015-11-01,40.0,Romance,"Son Deok-Gi, Cheol-i, Jeong Yoo-jin, Ae-ri, Shin Yu-ju, Sin-yeong, Jeon Hyeon-soo, Tae-seong, Kim Hong-je, Assistant director, Yeong Ah, , Kim Soo-ji, ", Released, Korean,76800000.0,858637629.0,KR
ZACK AND MIRI MAKE A PORNO,2009-02-19,63.0,Comedy,"Seth Rogen, Zack, Elizabeth Banks, Miri, Craig Robinson, Delaney, Jennifer Schwalbach Smith, Betsy, Jason Mewes, Lester, Gerry Bednob, Mr. Surya, Traci Lords, Bubbles, Brandon Routh, Bobby Long, Justin Long, Brandon St. Randy", Released, English,24000000.0,36856306.0,AU
TINKER BELL,2008-10-27,68.0,"Animation, Family, Adventure, Fantasy","Mae Whitman, Tinker Bell (voice), Kristin Chenoweth, Rosetta (voice), Raven-Symoné, Iridessa (voice), Lucy Liu, Silvermist (voice), America Ferrera, Fawn (voice), Jane Horrocks, Fairy Mary (voice), Jesse McCartney, Terence (voice), Rob Paulsen, Bobble (voice), Jeff Bennett, Clank (voice)", Released, English,48000000.0,214714340.0,AU
ANTLERS,2021-10-28,63.0,"Drama, Horror, Mystery","Keri Russell, Julia Meadows, Jesse Plemons, Paul Meadows, Jeremy Thomas, Lucas Weaver, Graham Greene, Warren Stokes, Scott Haze, Frank Weaver, Sawyer Jones, Aiden Weaver, Rory Cochrane, Dan Lecroy, Amy Madigan, Principal Booth, Cody Davis, Clint Owens", Released, English,17000000.0,18867659.0,AU
28 DAYS LATER,2002-10-31,72.0,"Horror, Thriller, Science Fiction","Cillian Murphy, Jim, Naomie Harris, Selena, Brendan Gleeson, Frank, Megan Burns, Hannah, Christopher Eccleston, Major Henry West, Noah Huntley, Mark, Christopher Dunne, Jim's Father, Emma Hitching, Jim's Mother, Luke Mably, Private Clifton", Released, English,5000000.0,85720385.0,AU
ESCAPE ROOM TOURNAMENT OF CHAMPIONS,2021-07-01,67.0,"Horror, Thriller, Mystery","Taylor Russell, Zoey Davis, Logan Miller, Ben Miller, Indya Moore, Brianna Collier, Holland Roden, Rachel Ellis, Thomas Cocquerel, Nathan, Carlito Olivero, Theo, James Frain, Henry / Puzzlemaker, Isabelle Fuhrman, Claire, Deborah Ann Woll, Amanda Harper", Released, English,15000000.0,53493064.0,AU
ELEMENTAL,2023-06-16,0.0,"Animation, Family, Romance, Comedy, Fantasy","Leah Lewis, Ember Lumen (voice), Mamoudou Athie, Wade Ripple (voice), Ronnie del Carmen, Bernie Lumen (voice), Shila Ommi, Cinder Lumen (voice), Wendi McLendon-Covey, Gale (voice), Catherine O'Hara, Brook Ripple (voice), Mason Wertheimer, Clod (voice), Joe Pera, Fern (voice)", In Production, English,203540000.0,178359863.0,US
STEVEN UNIVERSE THE MOVIE,2019-09-02,83.0,"TV Movie, Animation, Science Fiction, Action, Adventure, Comedy, Drama, Fantasy, Music","Zach Callison, Steven Universe (voice), Deedee Magno, Pearl / Yellow Pearl (voice), Estelle, Garnet (voice), Michaela Dietz, Amethyst (voice), Sarah Stiles, Spinel (voice), Tom Scharpling, Greg Universe (voice), Uzo Aduba, Bismuth (voice), Shelby Rabara, Peridot (voice), Jennifer Paz, Lapis Lazuli (voice)", Released, English,149200000.0,1180869057.8,AU
KUBO AND THE TWO STRINGS,2016-08-18,76.0,"Animation, Adventure, Family","Art Parkinson, Kubo (voice), Charlize Theron, Mother (voice), Brenda Vaccaro, Kameyo (voice), Cary-Hiroyuki Tagawa, Hashi (voice), Meyrick Murphy, Mari (voice), George Takei, Hosato (voice), Rooney Mara, The Sisters (voice), Ralph Fiennes, Moon King (voice), Matthew McConaughey, Beetle (voice)", Released, English,55000000.0,77548122.0,AU
ONCE UPON A TIME IN HOLLYWOOD,2019-08-15,74.0,"Comedy, Drama, Thriller","Leonardo DiCaprio, Rick Dalton, Brad Pitt, Cliff Booth, Margot Robbie, Sharon Tate, Emile Hirsch, Jay Sebring, Margaret Qualley, 'Pussycat', Timothy Olyphant, Jim Stacy, Julia Butters, Trudi Fraser, Austin Butler, 'Tex', Dakota Fanning, 'Squeaky'", Released, English,95000000.0,374251247.0,AU
THE FAULT IN OUR STARS,2014-06-05,76.0,"Romance, Drama","Shailene Woodley, Hazel Grace Lancaster, Ansel Elgort, Augustus Waters, Nat Wolff, Isaac, Laura Dern, Frannie Lancaster, Sam Trammell, Michael Lancaster, Willem Dafoe, Peter van Houten, Lotte Verbeek, Lidewij Vliegenthart, Mike Birbiglia, Patrick, Ana Dela Cruz, Dr. Maria", Released, English,12000000.0,307166834.0,AU
MOSES,1995-12-20,68.0,Drama,"Ben Kingsley, Moses, Frank Langella, Pharao Mernefta, Christopher Lee, Pharao Ramses, Anna Galiena, Ptira, Anita Zagaria, Jochebet, Enrico Lo Verso, Josua, Philippe Leroy, Tuntmin, David Suchet, Aaron, Geraldine McEwan, Mirjam", Released, English,56600000.0,583921229.0,US
SPECIAL FORCES,2011-11-02,67.0,"Action, Drama, War","Diane Kruger, Elsa Casanova, Djimon Hounsou, Commander Kovax, Benoît Magimel, Captain 'Tic-Tac ', Denis Ménochet, Captain Lucas, Raphaël Personnaz, Elias, sniper, Alain Figlarz, Victor, Alain Alivon, Marius, Mehdi Nebbou, Amin, Elsa's guide, Raz Degan, Ahmed Zaief, leader of the hostage takers", Released, French,10000000.0,3424648.0,FR
DEMONIC,2021-09-20,50.0,"Drama, Horror, Science Fiction","Carly Pope, Carly, Nathalie Boltt, Angela, Chris William Martin, Martin, Michael J Rogers, Michael, Kandyse McClure, Sam, Terry Chen, Daniel, Jason Tremblay, Officer Derry, Quinton Boisclair, Demon, Andrea Agur, Cashier", Released, English,3000000.0,4668109.0,AU
JACK THE GIANT SLAYER,2013-03-21,58.0,"Fantasy, Action, Adventure, Family","Eleanor Tomlinson, Princess Isabelle, Nicholas Hoult, Jack, Ewan McGregor, Elmont, Stanley Tucci, Roderick, Ian McShane, King Brahmwell, Bill Nighy, General Fallon, Eddie Marsan, Crawe, Warwick Davis, Old Hamm, Ewen Bremner, Wicke", Released, English,195000000.0,197687603.0,AU
PAUL,2011-04-14,67.0,"Adventure, Comedy, Science Fiction","Simon Pegg, Graeme Willy, Nick Frost, Clive Gollings, Seth Rogen, Paul (voice), Jason Bateman, Special Agent Lorenzo Zoil, Kristen Wiig, Ruth Buggs, Bill Hader, Haggard, Blythe Danner, Tara Walton, Joe Lo Truglio, O'Reilly, John Carroll Lynch, Moses Buggs", Released, English,40000000.0,101162106.0,AU
BAD BOYS II,2003-09-18,66.0,"Adventure, Action, Comedy, Thriller, Crime","Will Smith, Detective Mike Lowrey, Martin Lawrence, Detective Marcus Burnett, Gabrielle Union, Sydney 'Syd' Burnett, Jordi Mollà, Hector Juan Carlos 'Johnny' Tapia, Peter Stormare, Alexei, Joe Pantoliano, Captain C. Howard, Theresa Randle, Theresa Burnett, Michael Shannon, Floyd Poteet, Jon Seda, Roberto", Released, English,130000000.0,273271982.0,AU
RIPD,2013-09-12,58.0,"Fantasy, Action, Comedy, Crime","Jeff Bridges, Roy Pulsipher, Ryan Reynolds, Nick Walker, Kevin Bacon, Bobby Hayes, Mary-Louise Parker, Proctor, Stephanie Szostak, Julia, Robert Knepper, Nawlicki, James Hong, Nick's Avatar / Jerry Chen, Marisa Miller, Roy's Avatar, Mike O'Malley, Elliot", Released, English,130000000.0,79076678.0,AU
BROTHER BEAR 2,2006-08-17,67.0,"Adventure, Animation, Family","Patrick Dempsey, Kenai (voice), Mandy Moore, Nita (voice), Jeremy Suarez, Koda (voice), Rick Moranis, Rutt (voice), Dave Thomas, Tuke (voice), Andrea Martin, Anda (voice), Catherine O'Hara, Kata (voice), Wanda Sykes, Innoko (voice), Wendie Malick, Aunt Siqiniq (voice)", Released, English,143000000.0,417354495.6,US
RYE LANE,2023-03-31,75.0,"Romance, Comedy","David Jonsson, Dom, Vivian Oparah, Yas, Poppy Allen-Quarmby, Cass, Simon Manyonda, Nathan, Benjamin Sarpong-Broni, Eric, Karene Peter, Gia, Malcolm Atobrah, Jules, Alice Hewkin, Tabby, Levi Roots, Uncle", Released, English,96200000.0,412160901.0,AU
KNOCK KNOCK,2015-09-23,53.0,"Drama, Thriller, Horror","Keanu Reeves, Evan Webber, Lorenza Izzo, Genesis, Ana de Armas, Bell, Aaron Burns, Louis, Colleen Camp, Vivian, Ignacia Allamand, Karen Alvarado, Antonio Quercia, Uber Driver, Dan Baily, Jake, Megan Baily, Lisa", Released, English,2000000.0,6328516.0,CL
SILVERTON SIEGE,2022-04-27,64.0,"Action, Crime, Drama","Thabo Rametsi, Calvin Khumalo, Noxolo Dlamini, Mbali Terra Mabunda, Stefan Erasmus, Aldo Erasmus, Arnold Vosloo, Johan Langerman, Tumisho Masha, Sechaba, Sarah Kozlowski, Madeleine, Justin Strydom, Hans, Clayton Boyd, Sniper, Jacques Gombault, Strydom", Released, English,100940000.0,750247009.4,US
SHADOW IN THE CLOUD,2021-01-14,58.0,"Horror, Action, War","Chloë Grace Moretz, Maude Garrett, Nick Robinson, Stu Beckell, Beulah Koale, Anton Williams, Taylor John Smith, Walter Quaid, Callan Mulvey, John Reeves, Benedict Wall, Tommy Dorn, Byron Coll, Terrence Taggart, Joe Witkowski, Bradley Finch, Liam Legge, Baby", Released, English,6130000.0,1054290.0,AU
ROCKY BALBOA,2007-02-22,68.0,Drama,"Sylvester Stallone, Robert ""Rocky"" Balboa, Burt Young, Paulie Pennino, Antonio Tarver, Mason 'The Line' Dixon, Geraldine Hughes, Marie, Milo Ventimiglia, Robert Balboa Jr., Tony Burton, Tony ""Duke"" Evers, A.J. Benza, L.C., James Francis Kelly III, Steps, Lou DiBella, Lou DiBella", Released, English,24000000.0,156229050.0,AU
THE VALET,2022-05-20,77.0,"Comedy, Romance","Eugenio Derbez, Antonio Flores, Samara Weaving, Olivia Allan, Max Greenfield, Vincent Royce, Betsy Brandt, Kathryn Royce, Marisol Nichols, Isabel, Amaury Nolasco, Benny, Carmen Salinas, Cecilia, Noemi Gonzalez, Clara, Armando Hernández, Rudy", Released, English,105800000.0,667037174.8,AU
ALIVE,2020-06-24,73.0,"Horror, Action, Adventure, Thriller","Yoo Ah-in, Oh Joon-woo, Park Shin-hye, Kim Yoo-bin, Lee Hyun-wook, Sang-chul, Jin So-yeon, Elena Kim, Kim Hak-sun, Joon-woo's Father, So Hee-jung, Joon-woo's Mother, Joo Bo-bi, Joon-woo's Sister, Jeon Bae-soo, Masked Man, Lee Chae-kyung, Masked Man’s Wife", Released, Korean,6300000.0,13416285.0,KR
FAIRY TAIL DRAGON CRY,2017-05-06,66.0,"Action, Adventure, Comedy, Fantasy, Animation","Makoto Furukawa, King Animus, Wataru Hatano, Gajeel Redfox, Aya Hirano, Lucy Heartfilia, Yui Horie, Carla, Akira Ishida, Zeref, Rie Kugimiya, Happy, Tomoaki Maeno, Invel Yura, Mai Nakahara, Juvia Lockser, Yuichi Nakamura, Gray Fullbuster", Released, Japanese,103400000.0,312788111.2,JP
MAD MAX BEYOND THUNDERDOME,1985-08-06,62.0,"Action, Adventure, Science Fiction","Mel Gibson, Max Rockatansky, Tina Turner, Aunty Entity, Helen Buday, Savannah Nix, Bruce Spence, Jedediah the Pilot, Angelo Rossitto, Master, Adam Cockburn, Jedediah Jr., Frank Thring, The Collector, Paul Larsson, Blaster, Angry Anderson, Ironbar", Released, English,10000000.0,36230219.0,AU
WHAT HAPPENED AT THE CARPENTERS SHOP,2020-03-05,43.0,Romance,"Tae Joo, , Ahn So-hee, , Min Do-yoon, , Gil Dong, , Hae Il, ", Released, Korean,5503757.2,7.0,KR
THE CABIN IN THE WOODS,2012-06-14,66.0,"Horror, Fantasy","Kristen Connolly, Dana Polk, Fran Kranz, Marty Mikalski, Jesse Williams, Holden McCrea, Anna Hutchison, Jules Louden, Chris Hemsworth, Curt Vaughn, Richard Jenkins, Richard Sitterson, Bradley Whitford, Steve Hadley, Sigourney Weaver, The Director, Brian J. White, Daniel Truman", Released, English,30000000.0,70683134.0,AU
AKIRA,1990-10-16,79.0,"Animation, Science Fiction, Action","Mitsuo Iwata, Shotaro Kaneda (voice), Nozomu Sasaki, Tetsuo Shima (voice), Mami Koyama, Kei (voice), Tessyo Genda, Ryûsaku (voice), Koichi Kitamura, Priestess Miyako / Council A (voice), Yuriko Fuchizaki, Kaori (voice), Masaaki Okura, Yamagata (voice), Takeshi Kusao, Kai (voice), Kazuhiro Kamifuji, Masaru / No. 27 (voice)", Released, Japanese,8000000.0,2018608.0,AU
